Name,Description,Website,Business Unit,Focus Area,Draft Opportunity Space,Original Taxonomy,Business Model Option,Friction Point,Business Models,Technologies ,Founded,Headcount,Country,Region,Funded,Funding Stage,Total Funding (USD),TRL,Maturity,Owner,Inc. Compass,Hero,Founded Score,Founded Weighting,Headcount Score,Headcount Weighting,Funding Score,Funding Weighting,TRL Score,TRL Weighting,Total Score,Result,Source
3-MonthPaydayLoan,"3 Month Payday Loans is an online payday loan platform. Offers 3-6-12 month payday loans from $100 up to $2500. Upon loan approval, money is directly sent to the borrower's bank account.",http://3-month-payday-loan.com,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Marketplace,,2019,,United States of America,North America,No,Unfunded,,,Nascent,,TRUE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
360tf,"Online marketplace for trade financing. It provides a digital platform that connects banks and corporations from across the globe and enables them to seamlessly manage their LC financing requirements. It features non-recourse financing, low single-digit interest, and more.",,,,,,,,,,2021,,Singapore,Asia,Yes,Seed,"$1,500,000",,Nascent,,FALSE,FALSE,0.2,0.3,,0,0.2,0.7,,0,0.2,Nascent,OLD PROJECT – IKEA
365 Capital,365 Capital is an online lending platform for unsecured business loans. The loans are offered for a tenure of up to 12 months. The business must be operative for at least 1 year in order to be eligible for financing on the platform.,http://365capital.com.au,2. CC&C,2.3. Embedded Lending,2.3. Working Capital Loans,Working Capital Loans,,,Alternative Lending > Online Lenders > Business Loans > Working Capital Loans > Direct Lender,,2015,,Australia,Oceania,No,Unfunded,,,Nascent,,TRUE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
365Loanpros,Online marketplace for payday loans,https://365loanpros.com,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Marketplace,,2019,,,,No,Unfunded,,,Nascent,,FALSE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
3ACTPAXOBATb-OCARO.Pф,,https://xn----7sbaabjkz9ddcpmhhf1c0i.xn--p1ai,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Auto E-Commerce & Content > Insurance > Distribution Platform,
Internet First Insurance Platforms > Insurance Comparison Platforms > P&C > Auto",,2020,,,,No,Unfunded,,,Nascent,,FALSE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
3B CRM,,https://3bcrm.com,4. Cross-BU,4.1. Customer Intelligence,4.1. Leverage Customer Data for Cross-selling,CRM Solution for Banks,,,"Sales Force Automation > CRM > Enterprise Suite > BFSI,
Banking Tech > CRM",,2021,,,,No,Unfunded,,,Nascent,,FALSE,FALSE,0.2,0.3,,0,0,0.7,,0,0.06,Nascent,TRACXN
3S Money,"Payment solutions for cross-border merchants. It connects corporates to customers globally by providing them with local business accounts to send and receive funds through major payment rails. It offers import and export transactions, dividend distributions, finance and treasury operations, cross-border payments, and FX risk management.",https://3s.money,1. Payments,1.2. Easing of Remittances,1.2. Low-Cost Remittances Services,,,,Digital Remittance > Internet First Platforms > B2B Remittance,,2018,,United Kingdom,Europe,Yes,Series B,"$7,062,930",,Emerging,,TRUE,FALSE,0.7,0.3,,0,0.4,0.7,,0,0.49,Emerging,TRACXN
42 Card Solutions,"Credit card solutions for banks and financial institutions. It provides services like credit card design and onboarding, credit card authorization, payment processing, collections and dispute resolutions, credit card fraud detection, and more.",https://www.42cards.com,1. Payments,1.4. Embedded Payments,1.4. Open Banking & API Integration,,,,Payments > Enablers > White Label Solutions > Payment Cards > Credit Cards,,2020,14,India,Asia,Yes,Seed,"$2,988,936",,Nascent,,TRUE,FALSE,0.5,0.3,1,0,0.2,0.7,,0,0.29,Nascent,TRACXN
4Degrees,The company provides solutions to automatically track business relationships & deals with actionable intelligence to help them to move them forward.,https://4degrees.ai,4. Cross-BU,4.1. Customer Intelligence,4.1. Leverage Customer Data for Cross-selling,CRM Solution for Banks,,,"Sales Force Automation > CRM > Enterprise Suite > BFSI > Investment Firms,
Investment Tech > Wealth Management IT > Client Communication,
Banking Tech > CRM > Mortgage,
Insurance IT > Corporate Functions > CRM",,2017,,United States of America,North America,Yes,Series A,"$1,920,000",,Emerging,,TRUE,FALSE,0.7,0.3,,0,0.4,0.7,,0,0.49,Emerging,TRACXN
4KST,"Banking software suite. It offers multiple solutions including sales recommendations on cards, deposit accounts, asset management, credits, payments, collection, treasury, operations, marketing, credit scores, fraud prevention, and more.",https://4kst.com,2. CC&C,2.2. Digital Loan Servicing,2.2. Customer Risk Profiling,Credit Assessment Score,,,Banking Tech > Loan Life Cycle Management > Credit Assessment > Alternative Credit Score,,2017,,Brazil,South America,No,Unfunded,,,Nascent,,TRUE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
4L Data Intelligence,"Provider of AI-enabled healthcare insurance solutions. It offers solutions to improve data, provider, payment, and decision integrity enabling insurance companies to deliver service at a lower cost by stopping fraudulent, wasteful, and claims before payments.",https://4ldata.com,3. Insurance,3.1. Digital Insurance Platforms,3.1. Streamlining Purchase & Claims (Insurtech),Insurance Policy Software,,,Insurance IT > Insurance Policy Solutions > Insurance Software Suite > Life & Health > Health,,2022,,United States of America,North America,Yes,Seed,"$1,500,000",,Nascent,,TRUE,FALSE,0.2,0.3,,0,0.2,0.7,,0,0.2,Nascent,TRACXN
4th Wave,,https://4thwaves.com,1. Payments,1.1. Contactless Payments,1.1. QR code Payments to reach the unbanked,,,,Payments > Business Payments > QR Code Payments,,2017,,,,No,Unfunded,,,Nascent,,FALSE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
4WARD,"Provider of payment facilitation solutions and technology development products for the payment industry. It provides acquirers and issuers with multiple payment management products including Skipper, to automate commercial and financial management solutions; Dewa, an e-commerce payment integration solution, Inversare, to mitigate payment frauds by managing transaction disputes between merchants & customers, and others. It also provides consultancy services in the areas of risk analysis, payment solutions, authorization processes & settlement, fraud detection, and more.",http://4ward.com.br,1. Payments,1.4. Embedded Payments,1.4. Open Banking & API Integration,,,,Payments > Enablers > White Label Solutions > Payment Facilitators,,2013,,Brazil,South America,No,Acquired,,,Mature,,TRUE,FALSE,1,0.3,,0,1,0.7,,0,1,Mature,TRACXN
4yourfinance,"4yourfinance provides software solutions for banks that enable them to digitize their offerings. Offers a white-label service platform that consists of two modules: Frontend apps module and web-based employee backend module. Features include customer authentication, document management, customer service, leads prequalification, cross-selling, liability-proof advice, etc.",https://4yourfinance.de,4. Cross-BU,4.2. Unifying the Customer Front,,Banking Channel Solutions,,,Banking Tech > Banking Channels > Omnichannel,,2015,,Germany,Europe,No,Unfunded,,,Nascent,,TRUE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
6DOT50,,https://www.6dot50.com/,1. Payments,1.2. Easing Remittances & Cross-border Payments,"1.2. Blockchain for Faster, More Secure Payments",,,,Cryptocurrencies > Financial Services > Payments > Business Payments > Diversified,,2019,,South Africa,Africa,Yes,Funding Raised,,,Emerging,,FALSE,FALSE,0.5,0.3,,0,0.7,0.7,,0,0.64,Emerging,TRACXN
8nook,,http://8nook.com,2. CC&C,2.2. Empowering CSR Teams,2.2. Customer Risk Profiling,Credit Assessment Score,,,Banking Tech > Loan Life Cycle Management > Credit Assessment > Alternative Credit Score,,2021,,Armenia,Asia,No,Unfunded,,,Nascent,,FALSE,FALSE,0.2,0.3,,0,0,0.7,,0,0.06,Nascent,TRACXN
8Pay,8Pay is an ethereum based payment gateway solution for cryptocurrencies. Merchants accept payment of various goods and services through crypto-assets. The application can be accessed on iOS and Android mobile devices.,https://8pay.network,1. Payments,1.2. Easing of Remittances,"1.2. Blockchain for Faster, More Secure Payments",,,,Cryptocurrencies > Financial Services > Payments > Business Payments > Online Payments,,2018,,Singapore,Asia,Yes,Funding Raised,,,Emerging,,FALSE,FALSE,0.7,0.3,,0,0.7,0.7,,0,0.7,Emerging,TRACXN
8percent,"Online platform for consumer loans. It is a P2P marketplace connecting borrowers withlenders for personal and real estate loans. Users must add the required information along with the document and apply for the loan. Once approved, the funds are transferred to the registered bank account. Investors can invest based on terms and amounts.",,,,,,,,,,2014,,South Korea,Asia,Yes,Series B,"$38,300,000",,Emerging,,FALSE,FALSE,1,0.3,,0,0.4,0.7,,0,0.58,Emerging,OLD PROJECT – IKEA
91Yaoyao,"91Yaoyao offers a mobile app that enables insurance agents to check license plates, generate quotes, raise underwriting requests, etc. Also offers Yaoyao pay - a platform that helps insurers to manage transactions and improve customer experience.",http://91yaoyao.com,3. Insurance,3.1. Digital Insurance Platforms,3.1. Streamlining Purchase & Claims (Insurtech),Insurance Policy Software,,,Insurance IT > Insurance Policy Solutions > Insurance Software Suite > Property & Casualty,,2015,,China,Asia,Yes,Seed,,,Emerging,,TRUE,FALSE,1,0.3,,0,0.2,0.7,,0,0.44,Emerging,TRACXN
91Zhengxin,,http://91zhengxin.com,2. CC&C,2.2. Empowering CSR Teams,2.2. Customer Risk Profiling,Credit Assessment Score,,,"Alternative Lending > Enablers > Alternative Credit Score > Individuals > Financial Transactions,
Banking Tech > Loan Life Cycle Management > Credit Assessment > Alternative Credit Score",,2015,,China,Asia,Yes,Series B,"$3,000,000",,Emerging,,FALSE,FALSE,1,0.3,,0,0.4,0.7,,0,0.58,Emerging,TRACXN
99banking,"99banking is a mutual car insurance provider where users pool together their premiums in groups. The common pool is used to settle claims for the entire group. The safer the group drives, the less they claim and the more they save. As of August 2017, the company claims that the number of users on the platform is 900K, and the number of registered members is more than 1.2 million.",http://99banking.com,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Auto E-Commerce & Content > Insurance > P2P,
Internet First Insurance Platforms > P2P Insurance > Carrier > P&C > Auto",,2015,,China,Asia,No,Unfunded,,,Nascent,,TRUE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
A Tech Insure,,https://atechinsure.com,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Auto E-Commerce & Content > Insurance > Distribution Platform,
Internet First Insurance Platforms > Insurance Comparison Platforms > P&C > Auto",,2020,,Malaysia,Asia,No,Unfunded,,,Nascent,,FALSE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
A-Lend,App-based platform for microloans. It offers loans to users with flexible amounts and repayment options. It uses an intelligent system with proprietary credit scoring for application reviews and approvals. It also provides commissions on referrals. It features physical cash pickup points as well as electronic money transfers. The application is available on the Android platform.,https://www.a-lend.org/,2. CC&C,2.2. Digital Loan Servicing,,Internet First Microfinancing,,,Alternative Lending > Online Lenders > Consumer Loans > Micro Loans > Direct Lender,,2021,,Malaysia,Asia,No,Unfunded,,,Nascent,,TRUE,FALSE,0.2,0.3,,0,0,0.7,,0,0.06,Nascent,TRACXN
A55,"Online platform for revenue-based financing. It offers financing for SaaS and e-commerce businesses. The businesses can integrate the bank accounts and ad accounts into the system, and the loan amount is based on the analysis performed on the given documents. once approved and signed the funds are directly transferred to the registered bank account.",,,,,,,,,,2019,,Brazil,South America,Yes,Series B,"$58,309,547",,Emerging,,FALSE,FALSE,0.5,0.3,,0,0.4,0.7,,0,0.43,Emerging,OLD PROJECT – IKEA
Aagey,"Aagey is an online marketplace for consumer and business loans. It offers loans such as car loans, home loans, working capital loans, commercial vehicle loans, and more. The company takes care of KYC, company financials analysis, and operates a network of associates that take care of document collection.",https://aagey.com/,2. CC&C,2.3. Embedded Lending,2.3. Working Capital Loans,Working Capital Loans,,,Alternative Lending > Online Lenders > Business Loans > Working Capital Loans > Marketplace,,2017,23,India,Asia,Yes,Seed,"$445,608",,Nascent,,TRUE,FALSE,0.7,0.3,1,0,0.2,0.7,,0,0.35,Nascent,TRACXN
Aapkabima,,https://www.aapkabima.com/,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Auto E-Commerce & Content > Insurance > Distribution Platform,
Internet First Insurance Platforms > Insurance Comparison Platforms > P&C > Auto",,2019,,India,Asia,No,Unfunded,,,Nascent,,FALSE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
Aardviser,,http://aardviser.com,4. Cross-BU,4.1. Customer Intelligence,4.1. Leverage Customer Data for Cross-selling,CRM Solution for Banks,,,"Sales Force Automation > CRM > Enterprise Suite > BFSI,
Investment Tech > Wealth Management IT > Risk Management > Compliance,
Banking Tech > CRM,
RegTech > Risk Management > Risk Type > Investment Industry Risks,
Insurance IT > Corporate Functions > CRM",,2017,,Singapore,Asia,No,Unfunded,,,Nascent,,FALSE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
AAZZUR,"AAZZUR provides open banking API solutions to banks and financial institutions. It builds white-label products in order to serve the customers on the level of personalization. It enables banks to build products such as neo banks, mobile banking channels, personal finance tools, and more. It also provides Behavioral Trigger Engine for an AI-enabled algorithm of behavioral analytics, Financial Services Connector for connecting with the third parties, and more.",https://www.aazzur.com/,1. Payments,1.4. Embedded Payments,1.4. Open Banking & API Integration,,,,"Payments > Enablers > Open Banking APIs,
 Banking Tech > Open Banking > Aggregation APIs",,2017,3,Germany,Europe,Yes,Seed,"$1,427,783",,Nascent,,FALSE,FALSE,0.7,0.3,1,0,0.2,0.7,,0,0.35,Nascent,TRACXN
AAZZUR,"AAZZUR provides open banking API solutions to banks and financial institutions. It builds white-label products in order to serve the customers on the level of personalization. It enables banks to build products such as neo banks, mobile banking channels, personal finance tools, and more. It also provides Behavioral Trigger Engine for an AI-enabled algorithm of behavioral analytics, Financial Services Connector for connecting with the third parties, and more.",https://www.aazzur.com/,1. Payments,1.4. Embedded Payments,1.4. Open Banking & API Integration,,,,"Payments > Enablers > Open Banking APIs,
 Banking Tech > Open Banking > Aggregation APIs",,2017,3,Germany,Europe,Yes,Seed,"$1,427,783",,Nascent,,FALSE,FALSE,0.7,0.3,1,0,0.2,0.7,,0,0.35,Nascent,TRACXN
Abaco,"Online marketplace for microcredits for entrepreneurs. It enables entrepreneurs to access loans for equipment, personal tools, and more. Loans are provided on the basis of credit scores and revenue generated.",,,,,(5) Easing cash flow financing for businesses,,,,,2017,0,Spain,Europe,,Seed,,,Nascent,,FALSE,FALSE,0.7,0.3,1,0,0.2,0.7,,0,0.35,Nascent,OLD PROJECT – IKEA
Abe AI,"Abe is a customer servicing chatbot for financial institutions. The platform is AI enabled and it cleanses, categorizes, classifies, and analyzes customer transaction data using which banks can engage with their customers. The bot starts a conversation with customers with the help of collected data and helps customers to manage accounts and save money towards their goals.",https://www.abe.ai/,4. Cross-BU,4.2. Unifying the Customer Front,,Banking Channel Solutions,,,"Customer Service Software > Industry Specifc > Financial Services > Banking > Chatbots,
Chatbots > Industry Specific > Banking And Financial Services > Banking,
Banking Tech > Banking Channels > Conversational,
Plug and Play Tech Center Batches > Fintech > Batch 7",,2016,,United States of America,North America,Yes,Acquired,"$550,000",,Mature,,TRUE,FALSE,1,0.3,,0,1,0.7,,0,1,Mature,TRACXN
Abhi,Online platform for payday loans. It offers a solution that enables employees to access the earned wages before payday. It enables employers to approve and monitor the advances of the employees. Employees can request salary advances via mobile applications and chat option.,http://abhi.com.pk,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,"HRTech > Employee Benefits > Financial Benefits > On Demand Pay,
Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Through Employer > On Demand Pay",,2021,,Pakistan,Asia,Yes,Series A,"$19,125,000",,Nascent,,TRUE,FALSE,0.2,0.3,,0,0.4,0.7,,0,0.34,Nascent,TRACXN
ABI Health,"Provider of a suite of healthcare solutions and insurance claim management. It offers solutions including Spectra cloud PACS, an HTML 5 DICOM viewer, Live Doctor, a telemedicine application; HIT Integration Engine, and a Home health platform, for patient data capture. Services offered include Healthcare Application Development, Healthcare Consulting, Interoperability, Mobility Services, and Product Engineering.",https://www.abi-health.com/,3. Insurance,3.1. Digital Insurance Platforms,3.1. Streamlining Purchase & Claims (Insurtech),Insurance Claims Processing,,,"Insurance IT > Insurance Policy Solutions > Claims Processing > Suite > Life & Health > Health,
Healthcare IT > Provider > Administrative Solutions > Finance Management > RCM,
Healthcare Payer Tech > Claims Management > Diversified",,2013,27,India,Asia,Yes,Seed,"$6,177,461",,Emerging,,TRUE,FALSE,1,0.3,1,0,0.2,0.7,,0,0.44,Emerging,TRACXN
Able,"Provider of an AI-based business loan processing platform. The platform enables commercial lenders to collect borrower's information and processes it. Its features include document collection, loan origination, loan monitoring, collaboration tools, and loan renewal tools. It uses AI technology to automate loan processes.",https://www.able.ai/,2. CC&C,2.2. Digital Loan Servicing,2.2. Automating Credit Review & Issuance,Loan Document Processing Software,,,Banking Tech > Loan Life Cycle Management > Document Processing > Document Collection,,2020,,United States of America,North America,Yes,Series A,"$20,000,000",,Emerging,,TRUE,FALSE,0.5,0.3,,0,0.4,0.7,,0,0.43,Emerging,TRACXN
Above,Cloud based platform offering product creation software. The platform enables members to prototype and test product data models and logic flows. It also allows members to gather user feedback. It also provides central data management and analytics solutions that help members to view and manage data.,https://www.abovecomp.com/,1. Payments,1.4. Embedded Payments,1.4. No-code & Low-code solutions,,,,Application Development Tools > Code Development > Low Code Development Platforms,,2019,,United States of America,North America,Yes,Funding Raised,,,Emerging,,FALSE,FALSE,0.5,0.3,,0,0.7,0.7,,0,0.64,Emerging,TRACXN
Abstra,"Low code application development platform. The product offered by the company is a drag and drop builder that enables members to build applications. The features of the product include real time designs, custom code, database and integrations, deployment and code exporting, etc.",http://abstra.app,1. Payments,1.4. Embedded Payments,1.4. No-code & Low-code solutions,,,,"Application Development Tools > Code Development > Low Code Development Platforms,
 PaaS > Platform & Dev Tools > Integrated",,2020,,Brazil,South America,Yes,Seed,"$3,116,516",,Nascent,,TRUE,FALSE,0.5,0.3,,0,0.2,0.7,,0,0.29,Nascent,TRACXN
Acala Network,"Smart contract platform for decentralized projects on polkadot. It allows users to send and receive currencies across blockchains connected to the Polkadot network. It offers solutions for trading, lending, and managing outstanding loans.",https://acala.network,,,,,,,,,2019,0,United States of America,North America,Yes,Seed,"$650,000",,Nascent,,FALSE,FALSE,0.5,0.3,1,0,0.2,0.7,,0,0.29,Nascent,OLD PROJECT – IKEA
Accept.inc,"Online lending platform for residential mortgage loans. Users need to apply for cash via its online application portal, and upon credit assessment, it offers borrowers home loan options with multiple price ranges. It also allows buyers' agents to close multiple mortgage deals by buying cash on behalf of borrowers and upon confirmation, the agents are able to close multiple loan deals. It also allows home sellers to post residential real estate offers on the platform to provide home financing solutions to borrowers.",https://bethsaidamicrocltd.com/,,,,(7) Joining the growth journey of the many,,,,,2019,0,United States of America,North America,Yes,Series B,"$12,000,000",,Emerging,,FALSE,FALSE,0.5,0.3,1,0,0.4,0.7,,0,0.43,Emerging,OLD PROJECT – IKEA
